comorbidity,snomed_code
peripheral_vascular_disease,95443002
peripheral_vascular_disease,82196007
peripheral_vascular_disease,128321003
peripheral_vascular_disease,52403007
peripheral_vascular_disease,195265003
peripheral_vascular_disease,233984007
peripheral_vascular_disease,74883004
peripheral_vascular_disease,195258006
peripheral_vascular_disease,12232008
peripheral_vascular_disease,68109007
peripheral_vascular_disease,73067008
peripheral_vascular_disease,14336007
peripheral_vascular_disease,34881000119105
peripheral_vascular_disease,400047006
peripheral_vascular_disease,399957001
peripheral_vascular_disease,12237231000119107
peripheral_vascular_disease,12237111000119107
peripheral_vascular_disease,428171009
peripheral_vascular_disease,792854004
peripheral_vascular_disease,12237191000119103
peripheral_vascular_disease,12237071000119100
peripheral_vascular_disease,12236951000119108
peripheral_vascular_disease,792845002
peripheral_vascular_disease,63491006
peripheral_vascular_disease,39823006
peripheral_vascular_disease,15649901000119104
peripheral_vascular_disease,792843009
peripheral_vascular_disease,15649991000119105
peripheral_vascular_disease,37151006
peripheral_vascular_disease,230730001
peripheral_vascular_disease,713029000
peripheral_vascular_disease,233994002
peripheral_vascular_disease,713036004
peripheral_vascular_disease,233999007
peripheral_vascular_disease,720626009
peripheral_vascular_disease,710864009
peripheral_vascular_disease,308546005
peripheral_vascular_disease,408666009
peripheral_vascular_disease,111354009
peripheral_vascular_disease,698816006
peripheral_vascular_disease,12236991000119103
peripheral_vascular_disease,15649941000119102
peripheral_vascular_disease,45281005
peripheral_vascular_disease,442701004
peripheral_vascular_disease,709584004
peripheral_vascular_disease,442439008
peripheral_vascular_disease,442693003
peripheral_vascular_disease,724440007
peripheral_vascular_disease,441574008
peripheral_vascular_disease,51274000
peripheral_vascular_disease,81817003
peripheral_vascular_disease,72092001
peripheral_vascular_disease,49176002
peripheral_vascular_disease,67362008
peripheral_vascular_disease,433068007
peripheral_vascular_disease,432119003
peripheral_vascular_disease,75878002
peripheral_vascular_disease,233985008
congestive_heart_failure,417996009
congestive_heart_failure,367363000
congestive_heart_failure,44313006
congestive_heart_failure,415295002
congestive_heart_failure,195023001
congestive_heart_failure,276514007
congestive_heart_failure,83105008
congestive_heart_failure,85232009
congestive_heart_failure,46113002
congestive_heart_failure,5148006
congestive_heart_failure,194781004
congestive_heart_failure,194779001
congestive_heart_failure,15781000119107
congestive_heart_failure,10091002
congestive_heart_failure,84114007
congestive_heart_failure,194849004
congestive_heart_failure,83521008
congestive_heart_failure,399020009
congestive_heart_failure,418304008
congestive_heart_failure,82523003
congestive_heart_failure,42343007
congestive_heart_failure,442304009
congestive_heart_failure,441481004
congestive_heart_failure,10335000
congestive_heart_failure,48447003
congestive_heart_failure,441530006
congestive_heart_failure,88805009
