comorbidity,medication_name
chronic_pulmonary_disease,aclidinium
chronic_pulmonary_disease,beclometasone
chronic_pulmonary_disease,beclometasone-formoterol
chronic_pulmonary_disease,beclometasone/formoterol/glycopyrronium
chronic_pulmonary_disease,budesonide
chronic_pulmonary_disease,budesonide-formoterol
chronic_pulmonary_disease,fluticasone
chronic_pulmonary_disease,fluticasone-formoterol
chronic_pulmonary_disease,fluticasone-salmeterol
chronic_pulmonary_disease,fluticasone-vilanterol
chronic_pulmonary_disease,fluticasone/umeclidinium/vilanterol
chronic_pulmonary_disease,glycopyrronium
chronic_pulmonary_disease,glycopyrronium-indacaterol
chronic_pulmonary_disease,tiotropium
chronic_pulmonary_disease,umeclidinium
chronic_pulmonary_disease,umeclidinium-vilanterol
diabetes_without_complication,alogliptin
diabetes_without_complication,gliclazide
diabetes_without_complication,linagliptin
diabetes_without_complication,sitagliptin
