model,fold,train_roc_auc,roc_auc,train_average_precision,average_precision,train_neg_brier_score,brier_score
Dummy Classifier,1,0.5,0.5,0.3471971066907776,0.34782608695652173,0.22665127579633043,0.22684349580521068
Dummy Classifier,2,0.5,0.5,0.3471971066907776,0.34782608695652173,0.22665127579633043,0.22684349580521068
Dummy Classifier,3,0.5,0.5,0.3476161738080869,0.34615384615384615,0.22677916951511284,0.22633349934891395
Dummy Classifier,4,0.5,0.5,0.3471971066907776,0.34782608695652173,0.22665127579633043,0.22684349580521065
Dummy Classifier,5,0.5,0.5,0.3474065138721351,0.3469879518072289,0.22671522799134508,0.22658748830205527
Logistic Regression L2,1,0.7688118780137478,0.7481738683127572,0.6362780457736518,0.6238830456276765,0.18101881379255244,0.18726949637622292
Logistic Regression L2,2,0.7821028265107213,0.6859567901234568,0.6537184303674176,0.5538784481196475,0.1760783231616863,0.2069302962902207
Logistic Regression L2,3,0.7740020171651765,0.7237285539215685,0.6443369321892697,0.5835020891348612,0.1792850910307112,0.1942629934506085
Logistic Regression L2,4,0.7680247768544168,0.7464506172839507,0.6436806227643224,0.5912469338347148,0.18034070457352305,0.19006376967033545
Logistic Regression L2,5,0.7620532963647566,0.7732677326773267,0.6347009773679348,0.6321685794639729,0.18277769529202803,0.18084188144510582
Logistic Regression L1,1,0.7685329460346774,0.7490740740740741,0.6365352778943397,0.6273543457544175,0.1811383852899575,0.18636794974596585
Logistic Regression L1,2,0.7815818328716527,0.6891975308641975,0.6538026749685504,0.5573852723435424,0.1762337042842704,0.20593931314208858
Logistic Regression L1,3,0.7735234222427793,0.7248263888888888,0.6441418861301489,0.5865408937023515,0.1795051849376968,0.19342849964431594
Logistic Regression L1,4,0.7677458448753461,0.7456532921810699,0.6440733648468987,0.5937950202636586,0.1804373924394648,0.1901970734122227
Logistic Regression L1,5,0.76082101047443,0.7750358753587536,0.634504011708757,0.6340753179335694,0.1829776969528035,0.1803511687008005
Logistic Regression Elastic Net,1,0.7687830229814301,0.7489197530864198,0.636345260122999,0.6262565713530972,0.18104452247484978,0.1868921507862427
Logistic Regression Elastic Net,2,0.7817934364419823,0.6867283950617283,0.6535150786655227,0.5540121863513515,0.1761406208645811,0.2064850852412571
Logistic Regression Elastic Net,3,0.7737900220988796,0.7246476715686274,0.644244233025415,0.5851052187938695,0.17937057468348527,0.19389526426840276
Logistic Regression Elastic Net,4,0.7679847004206423,0.746167695473251,0.6443217877219558,0.5919092237018754,0.18035432565000517,0.19002311424701612
Logistic Regression Elastic Net,5,0.7615398439104539,0.7733189831898319,0.6347547286146457,0.6315063100179391,0.18285892563695583,0.18069001136011761
Decision Tree,1,1.0,0.5685185185185185,1.0,0.38673633704689603,0.0,0.39371980676328505
Decision Tree,2,1.0,0.5787037037037037,1.0,0.39345142243692965,0.0,0.3888888888888889
Decision Tree,3,1.0,0.5428921568627452,1.0,0.3685897435897436,0.0,0.4182692307692308
Decision Tree,4,1.0,0.588425925925926,1.0,0.40143396611553384,0.0,0.3719806763285024
Decision Tree,5,1.0,0.6116236162361623,1.0,0.4183919350872879,0.0,0.3542168674698795
Random Forest,1,1.0,0.6964763374485597,1.0,0.5696603947223151,0.028563532248342374,0.20124396135265699
Random Forest,2,1.0,0.6793724279835393,1.0,0.499662365975595,0.027991500904159132,0.2068657004830918
Random Forest,3,0.9999999999999999,0.6657220179738561,1.0,0.5195839247703113,0.028328726614363312,0.20793221153846153
Random Forest,4,1.0,0.6979552469135804,1.0000000000000002,0.5517989320074705,0.028228933092224233,0.20147874396135268
Random Forest,5,1.0,0.7451440139401394,1.0,0.5917082022731601,0.028838419782870932,0.19213036144578313
Support Vector Machine,1,0.9195938493895557,0.7059156378600823,0.8597046681576443,0.5687389227981092,0.13838835671429375,0.2001460905864346
Support Vector Machine,2,0.9219791987278139,0.6476851851851853,0.8717413570352962,0.4968358882917757,0.13285056799299172,0.21381440266795435
Support Vector Machine,3,0.9224355021071027,0.6936529820261437,0.8724318340464107,0.5463256724889868,0.13914077881068765,0.20158171063790203
Support Vector Machine,4,0.9265927977839334,0.7027263374485597,0.8771090656357767,0.5438785822855413,0.1373128506049018,0.201018798852611
Support Vector Machine,5,0.9210278034504006,0.7114339893398935,0.8698002711263191,0.5436883676200417,0.13944542178400401,0.20066723283056367
K-Nearest Neighbors,1,0.7941618254334667,0.5371913580246914,0.615432009158988,0.37050594520878616,0.16937914406268836,0.26260869565217393
K-Nearest Neighbors,2,0.7892484546527136,0.5668595679012346,0.6283797203981967,0.39570032196093174,0.16904159132007238,0.2585507246376812
K-Nearest Neighbors,3,0.7731090682495632,0.5878267973856209,0.5987133813827313,0.41023147467734467,0.175859987929994,0.24461538461538465
K-Nearest Neighbors,4,0.7927078524161281,0.5297196502057613,0.618023818511519,0.3717067994545733,0.1693309222423147,0.2629951690821256
K-Nearest Neighbors,5,0.7922306620969398,0.5786567240672407,0.6251718537532738,0.38783777436095535,0.168854041013269,0.24684337349397592
XGBoost,1,1.0,0.6799897119341565,1.0,0.55120653684885,0.007581060286611319,0.22986385226249695
XGBoost,2,1.0,0.6362654320987654,1.0,0.4804130824043013,0.007624850142747164,0.25475838780403137
XGBoost,3,1.0,0.6323784722222221,1.0,0.4916647623224293,0.008472565561532974,0.2532629370689392
XGBoost,4,1.0,0.6836162551440328,1.0,0.48201305603319006,0.009274804964661598,0.23937620222568512
XGBoost,5,1.0,0.6964944649446494,1.0,0.5641683855839392,0.010713866911828518,0.22522100806236267
