variable,category,count,proportion
ethnicity_desc,white,1196,0.4619544225569718
ethnicity_desc,__MISSING__,795,0.3070683661645423
ethnicity_desc,asian,367,0.141753572808034
ethnicity_desc,black,231,0.08922363847045191
organism_bug,escherichia coli,1666,0.6434916956353804
organism_bug,klebsiella pneumoniae,602,0.23252220934723833
organism_bug,proteus mirabilis,189,0.07300115874855156
organism_bug,klebsiella oxytoca,132,0.05098493626882966
site,urine,747,0.2885283893395133
site,wound,590,0.22788721514098106
site,__MISSING__,399,0.1541135573580533
site,sputum,303,0.11703360370799537
site,drain,272,0.10505986867516416
site,blood,158,0.061027423715720355
site,tissue/biopsy,61,0.023561220548474315
site,tips_devices,59,0.022788721514098106
tfc,uro_nephro,450,0.17381228273464658
tfc,abdominal_gi,419,0.16183854770181538
tfc,obs_gynae,318,0.12282734646581692
tfc,neuro_ent,250,0.09656237929702588
tfc,ortho_plastics,245,0.09463113171108536
tfc,gynaecological_oncology,225,0.08690614136732329
tfc,cardiothoracic,220,0.08497489378138277
tfc,general_surgery,219,0.08458864426419467
tfc,vascular,146,0.05639242950946311
tfc,__MISSING__,97,0.03746620316724604
prophylaxis_group,no_prophylaxis,886,0.3422170722286597
prophylaxis_group,cefuroxime +/- metronidazole,770,0.2974121282348397
prophylaxis_group,limited_enterobact_activity,322,0.12437234453456933
prophylaxis_group,co-amoxiclav-based,266,0.10274237157203553
prophylaxis_group,aminoglycoside-based,231,0.08922363847045191
prophylaxis_group,cefuroxime +/- metronidazole + aminoglycoside,77,0.02974121282348397
prophylaxis_group,other_broad_spectrum_gram_negative_active,37,0.01429123213595983
gender,1,1430,0.552336809578988
gender,0,1159,0.447663190421012
past_abx,0,2251,0.869447663190421
past_abx,1,338,0.13055233680957898
emergency_exposure_90d,0,2217,0.8563151796060255
emergency_exposure_90d,1,372,0.1436848203939745
hospital_exposure_90d,0,1468,0.567014291232136
hospital_exposure_90d,1,1121,0.432985708767864
any_healthcare_exposure_90d,0,1384,0.5345693317883352
any_healthcare_exposure_90d,1,1205,0.46543066821166473
asthma,0,2011,0.7767477790652761
asthma,1,578,0.22325222093472383
cancer,0,2006,0.7748165314793356
cancer,1,583,0.22518346852066434
copd,0,2289,0.884125144843569
copd,1,300,0.11587485515643106
hypertension,0,1325,0.5117806102742372
hypertension,1,1264,0.48821938972576284
ischaemic_heart_disease,0,1847,0.7134028582464272
ischaemic_heart_disease,1,742,0.2865971417535728
type2_diabetes,0,2116,0.817303978370027
type2_diabetes,1,473,0.18269602162997295
prior_positive_esbl,0,2346,0.9061413673232909
prior_positive_esbl,1,243,0.09385863267670916
esbl_status,0,1696,0.6550791811510236
esbl_status,1,893,0.34492081884897646
