variable,age_at_admission,imd_decile,__missing__imd_decile,days_from_admission_to_first_culture,surgery_length,min_days_from_surgery_to_infection,temp,__missing__temp,crp,__missing__crp,gender,past_abx,emergency_exposure_90d,hospital_exposure_90d,any_healthcare_exposure_90d,asthma,cancer,copd,hypertension,ischaemic_heart_disease,type2_diabetes,prior_positive_esbl
age_at_admission,1.0,0.08071215723408845,-0.06543162631008001,0.006725545615274252,0.16355136514115692,0.00019119194084184555,-0.08491978724401934,-0.08882930285740152,0.059080997579996825,-0.18464141474487145,-0.24634654602106643,-0.002097379483943661,0.03778932325307076,0.02299324964885674,0.024750382139752152,0.11409926527585325,0.12613684626077182,0.12244485318859381,0.3810229138947894,0.3294382278042748,0.16113475600018362,-0.004026245005195132
imd_decile,0.08071215723408845,1.0,0.0,0.013181591669267963,0.028870836303410332,0.025733977882440313,-0.05301228690087058,-0.05449915104655515,-0.044452785831801234,-0.032658958117028285,-0.01834537328933483,-0.03336965092641947,-0.14255537584695693,-0.067666515144363,-0.09956577424920152,-0.03340266846347095,-0.026101877849195317,-0.04711545284431462,-0.012851262516431016,-0.0019375883576119265,-0.05033338874344656,-0.027742795794025565
__missing__imd_decile,-0.06543162631008001,0.0,1.0,-0.04037437722466411,0.03694226377020171,-0.036069284024035794,-0.009096465748015417,-0.027938095174307287,0.016133783475128165,-0.032152319614483296,-0.012533076647583826,-0.050971142309321656,-0.0771483231129915,-0.07414598017455663,-0.08299871529703202,-0.052103774991477,-0.0013030735251220611,-0.005974955233882077,-0.05410807274953903,-0.05672365727289477,-0.03891793833103273,-0.050722957130339724
days_from_admission_to_first_culture,0.006725545615274252,0.013181591669267963,-0.04037437722466411,1.0,0.029285211661440644,0.9198473576484746,-0.04188704203288881,0.04063466843617229,-0.3103459000660845,0.02231878501468505,-0.019800641764592147,0.024139109265301686,0.002394540582080359,0.05408384869226503,0.04943019198531564,0.026779317823553552,0.026397182879478315,-0.027158769524185708,0.03895751979392512,0.03049977819435873,0.03682543892438626,-0.008790194062649092
surgery_length,0.16355136514115692,0.028870836303410332,0.03694226377020171,0.029285211661440644,1.0,0.008341468279861635,0.12962906352895898,-0.5165726225651128,0.17121944841846773,-0.6278646673213057,-0.19795966060507536,-0.06490811241063961,-0.0383683104265136,0.024707722938609365,0.003926280638624242,0.1427225701361231,0.13694868628889703,0.08412227848840605,0.1837957855773138,0.20776409649139244,0.0980787690685335,-0.12216306905266643
min_days_from_surgery_to_infection,0.00019119194084184555,0.025733977882440313,-0.036069284024035794,0.9198473576484746,0.008341468279861635,1.0,-0.05367792485361216,0.0822430390929297,-0.30682675018539424,0.08155560389658552,-0.01747028934682461,0.027758856879422457,-0.01851679970317927,0.05813203937866079,0.053340790874883984,-0.0001304020832131117,0.018801588326904765,-0.05420207722745547,0.014133001599624984,-0.012379340426133539,0.03679518717958239,0.0029872327332381697
temp,-0.08491978724401934,-0.05301228690087058,-0.009096465748015417,-0.04188704203288881,0.12962906352895898,-0.05367792485361216,1.0,0.0,0.16527351325088688,-0.15755729860960074,0.006864919202338548,-0.03130694975269298,0.04890322876850891,-0.018456241616824312,-0.025879971268572808,0.04225143419024164,0.04459285289849106,-0.026011354364371835,-0.026505730576909796,-0.02353549642451711,-0.004178203698981743,-0.00982053654277316
__missing__temp,-0.08882930285740152,-0.05449915104655515,-0.027938095174307287,0.04063466843617229,-0.5165726225651128,0.0822430390929297,0.0,1.0,0.04695574944450136,0.6494353093396331,0.03983782852268465,0.0826958990106742,0.08288533256675384,-0.009961746509488688,0.011954867614210494,-0.14506614823724853,-0.05587490398469267,-0.09719431920201316,-0.2139635669789281,-0.2630253603875527,-0.0927212844343396,0.07181534205106024
crp,0.059080997579996825,-0.044452785831801234,0.016133783475128165,-0.3103459000660845,0.17121944841846773,-0.30682675018539424,0.16527351325088688,0.04695574944450136,1.0,0.0,-0.08692519931087478,-0.055937638621941205,-0.02325751088342477,-0.0021040646819282713,-0.014736656097924636,0.14338421561548986,0.04105093541728226,0.05672489147985659,0.026189685258454224,-0.013372354976557572,0.01731463750514546,0.019537827966016382
__missing__crp,-0.18464141474487145,-0.032658958117028285,-0.032152319614483296,0.02231878501468505,-0.6278646673213057,0.08155560389658552,-0.15755729860960074,0.6494353093396331,0.0,1.0,0.14541427550480357,0.02364142382387281,0.02556646847602915,-0.02385989998300173,-0.0002428334762434857,-0.17392652928285754,-0.06617568346337586,-0.09497895993297359,-0.2543355535167635,-0.31920331909650523,-0.14699727035843907,0.04615006071088189
