variable,coefficient
,0.0
const,-10.080024323824354
age_at_admission,0.006923862157155868
gender,0.18640694860912974
hospital_exposure_90d,-0.11629150167930664
past_abx,0.03919705382041371
prior_positive_esbl,1.702695573330502
surgery_length,0.03176434975151561
temp,0.24115829632817373
type2_diabetes,0.09054203035803243
ethnicity_desc__asian,0.6915394126091544
ethnicity_desc__black,0.08113871836482202
organism_bug__klebsiella_oxytoca,-1.6715167116590057
organism_bug__klebsiella_pneumoniae,0.2742591215695005
organism_bug__proteus_mirabilis,-2.505521807022847
site__drain,-0.10283750778792843
site__sputum,-0.8385621374892782
site__tips_devices,-0.1870470266287343
site__tissue/biopsy,0.07260751219625304
site__urine,0.3083622561784072
site__wound,-0.44548255955020805
tfc__abdominal_gi,0.3349884394775416
tfc__cardiothoracic,-0.14704334312900927
tfc__gynaecological_oncology,0.8044782719338508
tfc__neuro_ent,-0.23655723525145425
tfc__obs_gynae,-0.5397009784243891
tfc__ortho_plastics,-0.22260351876976253
tfc__uro_nephro,0.35327833482177223
tfc__vascular,0.3985071707506766
prophylaxis_group__aminoglycoside-based,-0.6312582960217026
prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,-0.09027595393487725
prophylaxis_group__co-amoxiclav-based,-0.42579319637432295
prophylaxis_group__limited_enterobact_activity,-0.7099619433035481
prophylaxis_group__no_prophylaxis,0.0766938960417002
prophylaxis_group__other_broad_spectrum_gram_negative_active,0.2653306147581889
