variable_1,variable_2,category_1,category_2,count,proportion
site,organism_bug,urine,escherichia coli,485,0.1873310158362302
site,organism_bug,wound,escherichia coli,364,0.14059482425646969
site,organism_bug,__MISSING__,escherichia coli,258,0.0996523754345307
site,organism_bug,sputum,escherichia coli,196,0.07570490536886829
site,organism_bug,drain,escherichia coli,175,0.06759366550791812
site,organism_bug,urine,klebsiella pneumoniae,172,0.0664349169563538
site,organism_bug,wound,klebsiella pneumoniae,150,0.05793742757821553
site,organism_bug,blood,escherichia coli,106,0.040942448821938975
site,organism_bug,__MISSING__,klebsiella pneumoniae,84,0.03244495944380069
site,organism_bug,drain,klebsiella pneumoniae,68,0.02626496716879104
site,organism_bug,sputum,klebsiella pneumoniae,68,0.02626496716879104
site,organism_bug,urine,proteus mirabilis,50,0.019312475859405175
site,organism_bug,wound,proteus mirabilis,44,0.016994978756276556
site,organism_bug,tips_devices,escherichia coli,42,0.016222479721900347
site,organism_bug,tissue/biopsy,escherichia coli,40,0.01544998068752414
site,organism_bug,urine,klebsiella oxytoca,40,0.01544998068752414
site,organism_bug,blood,klebsiella pneumoniae,34,0.01313248358439552
site,organism_bug,__MISSING__,proteus mirabilis,33,0.012746234067207415
site,organism_bug,wound,klebsiella oxytoca,32,0.012359984550019312
site,organism_bug,sputum,proteus mirabilis,24,0.009269988412514484
site,organism_bug,__MISSING__,klebsiella oxytoca,24,0.009269988412514484
site,organism_bug,drain,proteus mirabilis,20,0.00772499034376207
site,organism_bug,tissue/biopsy,klebsiella pneumoniae,16,0.006179992275009656
site,organism_bug,sputum,klebsiella oxytoca,15,0.005793742757821553
site,organism_bug,blood,proteus mirabilis,11,0.004248744689069139
site,organism_bug,tips_devices,klebsiella pneumoniae,10,0.003862495171881035
site,organism_bug,drain,klebsiella oxytoca,9,0.0034762456546929316
site,organism_bug,blood,klebsiella oxytoca,7,0.0027037466203167246
site,organism_bug,tips_devices,proteus mirabilis,4,0.001544998068752414
site,organism_bug,tips_devices,klebsiella oxytoca,3,0.0011587485515643105
site,organism_bug,tissue/biopsy,proteus mirabilis,3,0.0011587485515643105
site,organism_bug,tissue/biopsy,klebsiella oxytoca,2,0.000772499034376207
tfc,prophylaxis_group,abdominal_gi,no_prophylaxis,147,0.056778679026651215
tfc,prophylaxis_group,uro_nephro,no_prophylaxis,141,0.054461181923522596
tfc,prophylaxis_group,uro_nephro,cefuroxime +/- metronidazole,136,0.05252993433758208
tfc,prophylaxis_group,abdominal_gi,cefuroxime +/- metronidazole,135,0.05214368482039398
tfc,prophylaxis_group,obs_gynae,no_prophylaxis,113,0.043646195442255696
tfc,prophylaxis_group,obs_gynae,cefuroxime +/- metronidazole,100,0.03862495171881035
tfc,prophylaxis_group,neuro_ent,no_prophylaxis,91,0.03514870606411742
tfc,prophylaxis_group,ortho_plastics,no_prophylaxis,86,0.0332174584781769
tfc,prophylaxis_group,ortho_plastics,cefuroxime +/- metronidazole,77,0.02974121282348397
tfc,prophylaxis_group,gynaecological_oncology,no_prophylaxis,77,0.02974121282348397
tfc,prophylaxis_group,cardiothoracic,no_prophylaxis,77,0.02974121282348397
tfc,prophylaxis_group,general_surgery,no_prophylaxis,74,0.02858246427191966
tfc,prophylaxis_group,neuro_ent,cefuroxime +/- metronidazole,73,0.028196214754731556
tfc,prophylaxis_group,gynaecological_oncology,cefuroxime +/- metronidazole,72,0.027809965237543453
tfc,prophylaxis_group,uro_nephro,limited_enterobact_activity,67,0.025878717651602934
tfc,prophylaxis_group,general_surgery,cefuroxime +/- metronidazole,64,0.024719969100038625
tfc,prophylaxis_group,cardiothoracic,cefuroxime +/- metronidazole,52,0.020084974893781384
tfc,prophylaxis_group,abdominal_gi,limited_enterobact_activity,50,0.019312475859405175
tfc,prophylaxis_group,uro_nephro,co-amoxiclav-based,49,0.01892622634221707
tfc,prophylaxis_group,vascular,no_prophylaxis,46,0.017767477790652762
tfc,prophylaxis_group,abdominal_gi,co-amoxiclav-based,39,0.015063731170336037
