variable,age_at_admission,imd_decile,__missing__imd_decile,days_from_admission_to_first_culture,surgery_length,min_days_from_surgery_to_infection,temp,__missing__temp,crp,__missing__crp,gender,past_abx,emergency_exposure_90d,hospital_exposure_90d,any_healthcare_exposure_90d,asthma,cancer,copd,hypertension,ischaemic_heart_disease,type2_diabetes,prior_positive_esbl
age_at_admission,1.0,0.09691581274325663,-0.042832427166555526,-0.013389726265884713,0.16933184782160834,-0.012194948652247592,-0.08145666281491704,-0.05097844137295419,0.037807348085083056,-0.15377976945371122,-0.18024289409609545,-0.008546916410819259,0.0037439173983920895,-0.010597507925670371,-0.009432195213175053,0.10450609341791593,0.0767470839979808,0.039154540105750334,0.31824872428771345,0.24053536339809506,0.10161836966555558,-0.001941809479293175
imd_decile,0.09691581274325663,1.0,0.0,-0.006104734165432006,0.04680564085804103,0.005372650917849876,-0.02021954692664147,-0.0226592741069039,-0.007988222681463993,-0.02703951765288558,-0.013711779889329189,-0.021810402957536102,-0.09830295916812641,-0.042116649045962386,-0.05007974536948106,0.0139301092987264,-0.01141029840033912,-0.03051938988866811,0.014299751672508014,0.018933625129208785,-0.042837471682526135,-0.03216099718235855
__missing__imd_decile,-0.042832427166555526,0.0,1.0,0.005302117902816814,0.04186732398322238,-0.008417999185851377,-0.014663181827305366,-0.005849373374306808,-0.0005717075139843211,-0.04683480580936772,0.00085035723181173,0.008287602938816847,-0.006001707547153004,0.003082823069353177,0.003723244244511712,-0.056099056162337506,0.002679993011526128,0.014816925277570472,-0.05077967034627547,-0.05304421577063925,-0.030306833097373746,-0.022198317482559727
days_from_admission_to_first_culture,-0.013389726265884713,-0.006104734165432006,0.005302117902816814,1.0,0.03167803597190067,0.9165240570800753,-0.06890187492081377,0.000591899154309825,-0.33120516791717397,0.018756216793315773,0.003992965397125292,-0.013648712439179495,-0.012700994330309925,0.044868160859151796,0.04043597670313493,0.010789766203044563,0.0008970689386270375,-0.0029400567097743286,0.0127855301826086,0.03255839284625938,0.026296322318484607,-0.011264095735693685
surgery_length,0.16933184782160834,0.04680564085804103,0.04186732398322238,0.03167803597190067,1.0,0.03154897022088107,0.12793922939267852,-0.34742652844164895,0.16929797326566168,-0.49244285862912046,-0.17788111910807144,-0.033483949289625406,-0.05690207165364584,0.03587209920218725,0.02474959015838567,0.0874474144762893,0.09201649344932632,0.024481151903900406,0.14852503453155802,0.1860695094207308,0.0937015575199393,-0.06102541539420904
min_days_from_surgery_to_infection,-0.012194948652247592,0.005372650917849876,-0.008417999185851377,0.9165240570800753,0.03154897022088107,1.0,-0.06654109665155826,0.03670404350286325,-0.322978152686689,0.05016458278743822,-0.004696362308380622,-0.004790382251676226,-0.011271227515190923,0.037446312238181706,0.04327769282042875,3.105501385881873e-06,0.010359858772204009,-0.008498455952139463,-0.008621908225682347,0.024648638098806686,0.04569279579206337,-0.0034535081405948666
temp,-0.08145666281491704,-0.02021954692664147,-0.014663181827305366,-0.06890187492081377,0.12793922939267852,-0.06654109665155826,1.0,0.0,0.1602513750488894,-0.14118524893751075,-0.03026739086962614,-0.01301916532822273,0.02825278875941017,-0.0020623593292877487,-0.01697106257995003,0.047697271350874766,0.024757301809860546,-0.01624368780567614,-0.03649759942500611,0.009261631302533801,0.016882053098369914,-0.01568241351152916
__missing__temp,-0.05097844137295419,-0.0226592741069039,-0.005849373374306808,0.000591899154309825,-0.34742652844164895,0.03670404350286325,0.0,1.0,0.04900744327894827,0.38695566763363737,0.02746249699704006,0.04312165901689818,0.030255314740889137,-0.04515005703293377,-0.03328032467770482,-0.05147625095685071,-0.046053454706644646,-0.013882781048108155,-0.12573640529133503,-0.13827476769473837,-0.05025474138156627,0.02609688761816886
crp,0.037807348085083056,-0.007988222681463993,-0.0005717075139843211,-0.33120516791717397,0.16929797326566168,-0.322978152686689,0.1602513750488894,0.04900744327894827,1.0,0.0,-0.0862419587728653,-0.02696572124294275,-0.014397526426500261,-0.012397225484338246,-0.028642352897321356,0.1198603128842756,0.0405940811127628,0.05024244456738352,0.017763875345894714,-0.04897194480800686,0.0083591861091472,0.0016385790356196971
__missing__crp,-0.15377976945371122,-0.02703951765288558,-0.04683480580936772,0.018756216793315773,-0.49244285862912046,0.05016458278743822,-0.14118524893751075,0.38695566763363737,0.0,1.0,0.08200594121509551,0.01099469332261104,0.020707657136057083,0.0019377283882848725,0.008299229974767173,-0.09616442588672178,-0.03761407566612031,-0.00978264468598627,-0.15375248218632517,-0.15524320588781917,-0.05878562017753146,-0.0035247405135750585
gender,-0.18024289409609545,-0.013711779889329189,0.00085035723181173,0.003992965397125292,-0.17788111910807144,-0.004696362308380622,-0.03026739086962614,0.02746249699704006,-0.0862419587728653,0.08200594121509551,1.0,0.0007150883635333595,-0.01654045692692916,-0.020645616769551893,0.006905109705069879,-0.032177957667576466,-0.011180662748146742,-0.052664673369062276,-0.09813859252071637,-0.1457324987176629,-0.05880830063383965,-0.011234293375212867
past_abx,-0.008546916410819259,-0.021810402957536102,0.008287602938816847,-0.013648712439179495,-0.033483949289625406,-0.004790382251676226,-0.01301916532822273,0.04312165901689818,-0.02696572124294275,0.01099469332261104,0.0007150883635333595,1.0,0.18118073267419885,0.22362775740436977,0.24060602271522225,-0.059078648442400614,-0.0003074341860747017,-0.018502554730611333,-0.020683408570436983,-0.017417939991487653,0.012605445105444108,0.06398242267262265
