variable,dtype,missing_count,missing_rate
ethnicity_desc,str,795,0.3070683661645423
crp,float64,748,0.28891463885670143
temp,float64,443,0.17110853611432986
site,str,399,0.1541135573580533
imd_decile,float64,148,0.05716492854383932
tfc,str,97,0.03746620316724604
admission_date,str,0,0.0
age_at_admission,int64,0,0.0
any_healthcare_exposure_90d,int64,0,0.0
asthma,int64,0,0.0
cancer,int64,0,0.0
copd,int64,0,0.0
days_from_admission_to_first_culture,int64,0,0.0
emergency_exposure_90d,int64,0,0.0
esbl_status,int64,0,0.0
gender,int64,0,0.0
hospital_exposure_90d,int64,0,0.0
hypertension,int64,0,0.0
infection_id,str,0,0.0
ischaemic_heart_disease,int64,0,0.0
min_days_from_surgery_to_infection,int64,0,0.0
organism_bug,str,0,0.0
past_abx,int64,0,0.0
prior_positive_esbl,int64,0,0.0
prophylaxis_group,str,0,0.0
subject,str,0,0.0
surgery_length,float64,0,0.0
type2_diabetes,int64,0,0.0
